Movie_ID,Movie_Name,Release_Year,MPAA_Rating,Scraping_Source
tt0023293,The Old Dark House,1932,,
tt0035423,Kate & Leopold,2001,,
tt0044000,The White Sheik,1952,,
tt0045274,Umberto D.,1952,,
tt0046478,Ugetsu,1953,,
tt0050634,The Cranes Are Flying,1957,,
tt0063032,The Great Silence,1968,,
tt0063823,Yellow Submarine,1968,,
tt0064603,The Love Bug,1968,,
tt0065207,Where Eagles Dare,1968,,
tt0067454,Multiple Maniacs,1970,,
tt0079672,Opening Night,1977,,
tt0082979,Reds,1981,,
tt0084707,Sophie's Choice,1982,,
tt0086034,Octopussy,1983,,
tt0092644,Beverly Hills Cop II,1987,,
tt0097940,Mystery Train,1989,,
tt0098724,"Sex, Lies, and Videotape",1989,,
tt0100403,Predator 2,1990,,
tt0101761,The Doors,1991,,
tt0103644,Alien³,1992,,
tt0108525,Wayne's World 2,1993,,
tt0109254,Beverly Hills Cop III,1994,,
tt0109813,The Flintstones,1994,,
tt0110005,Heavenly Creatures,1994,,
tt0110475,The Mask,1994,,
tt0110657,The Next Karate Kid,1994,,
tt0116250,Evita,1996,,
tt0116629,Independence Day,1996,,
tt0118583,Alien: Resurrection,1997,,
tt0118689,Bean,1997,,
tt0119164,The Full Monty,1997,,
tt0119174,The Game,1997,,
tt0119528,Liar Liar,1997,,
tt0120484,The Waterboy,1998,,
tt0120601,Being John Malkovich,1999,,
tt0120647,Deep Impact,1998,,
tt0120660,Enemy of the State,1998,,
tt0120667,Fantastic Four,2005,,
tt0120679,Frida,2002,,
tt0120681,From Hell,2001,,
tt0120689,The Green Mile,1999,,
tt0120755,Mission: Impossible II,2000,,
tt0120762,Mulan,1998,,
tt0120791,Practical Magic,1998,,
tt0120804,Resident Evil,2002,,
tt0120902,The X Files,1998,,
tt0120903,X-Men,2000,,
tt0120910,Fantasia 2000,1999,,
tt0124315,The Cider House Rules,1999,,
tt0125022,Heartbreakers,2001,,
tt0127536,Elizabeth,1998,,
tt0129290,Patch Adams,1998,,
tt0130623,Dinosaur,2000,,
tt0133152,Planet of the Apes,2001,,
tt0139654,Training Day,2001,,
tt0142342,Big Daddy,1999,,
tt0144528,Nutty Professor II: The Klumps,2000,,
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,,
tt0146316,Lara Croft: Tomb Raider,2001,,
tt0146838,Any Given Sunday,1999,,
tt0146984,The Legend of Bagger Vance,2000,,
tt0150377,Double Jeopardy,1999,,
tt0154420,The Celebration,1998,,
tt0157472,Clockstoppers,2002,,
tt0158371,Sweet and Lowdown,1999,,
tt0159273,Behind Enemy Lines,2001,,
tt0159365,Cold Mountain,2003,,
tt0160127,Charlie's Angels,2000,,
tt0161081,What Lies Beneath,2000,,
tt0161083,What's the Worst That Could Happen?,2001,,
tt0161860,Nowhere in Africa,2001,,
tt0162222,Cast Away,2000,,
tt0162661,Sleepy Hollow,1999,,
tt0163025,Jurassic Park III,2001,,
tt0163187,Runaway Bride,1999,,
tt0163651,American Pie,1999,,
tt0163978,The Beach,2000,,
tt0164184,The Sum of All Fears,2002,,
tt0164334,Along Came a Spider,2001,,
tt0164912,Stuart Little,1999,,
tt0165982,Sinbad: Legend of the Seven Seas,2003,,
tt0166813,Spirit: Stallion of the Cimarron,2002,,
tt0168786,Antwone Fisher,2002,,
tt0169547,American Beauty,1999,,
tt0173840,Final Fantasy: The Spirits Within,2001,,
tt0174480,Autumn in New York,2000,,
tt0177789,Galaxy Quest,1999,,
tt0180093,Requiem for a Dream,2000,,
tt0180734,Hardball,2001,,
tt0181536,Finding Forrester,2000,,
tt0181689,Minority Report,2002,,
tt0181739,Osmosis Jones,2001,,
tt0181852,Terminator 3: Rise of the Machines,2003,,
tt0181865,Traffic,2000,,
tt0183649,Phone Booth,2002,,
tt0184791,O,2001,,
tt0184858,Reindeer Games,2000,,
tt0185371,House on Haunted Hill,1999,,
tt0185431,Little Nicky,2000,,
tt0187078,Gone in 60 Seconds,2000,,
tt0187738,Blade II,2002,,
tt0188453,Birthday Girl,2001,,
tt0190138,The Whole Nine Yards,2000,,
tt0190374,Dungeons & Dragons,2000,,
tt0190865,Vertical Limit,2000,,
tt0191133,The Fighting Temptations,2003,,
tt0191397,The Replacements,2000,,
tt0191754,28 Days,2000,,
tt0195685,Erin Brockovich,2000,,
tt0195714,Final Destination,2000,,
tt0196216,Small Time Crooks,2000,,
tt0196229,Zoolander,2001,,
tt0196857,Play It to the Bone,1999,,
tt0199626,In the Cut,2003,,
tt0200550,Coyote Ugly,2000,,
tt0202470,Rock Star,2001,,
tt0203230,You Can Count on Me,2000,,
tt0204946,Bring It On,2000,,
tt0205000,Deuce Bigalow: Male Gigolo,1999,,
tt0205271,Dr. T & the Women,2000,,
tt0206275,Save the Last Dance,2001,,
tt0206314,Joy Ride,2001,,
tt0206963,My First Mister,2001,,
tt0207201,What Women Want,2000,,
tt0209475,The Wedding Planner,2001,,
tt0209958,The Cell,2000,,
tt0210234,Pokémon the Movie 2000,1999,,
tt0210299,Songcatcher,2000,,
tt0211181,102 Dalmatians,2000,,
tt0212338,Meet the Parents,2000,,
tt0212346,Miss Congeniality,2000,,
tt0212985,Hannibal,2001,,
tt0213149,Pearl Harbor,2001,,
tt0213203,Rugrats in Paris,2000,,
tt0213790,The Ladies Man,2000,,
tt0213847,Malena,2000,,
tt0215750,Enemy at the Gates,2001,,
tt0216216,The 6th Day,2000,,
tt0217505,Gangs of New York,2002,,
tt0217869,Unbreakable,2000,,
tt0218619,Soul Survivors,2001,,
tt0218967,The Family Man,2000,,
tt0219653,Dracula 2000,2000,,
tt0219699,The Gift,2000,,
tt0219952,Lucky Numbers,2000,,
tt0219965,Bandits,2001,,
tt0220506,Halloween: Resurrection,2002,,
tt0221027,Blow,2001,,
tt0221799,An American Rhapsody,2001,,
tt0223897,Pay It Forward,2000,,
tt0224578,The Vertical Ray of the Sun,2000,,
tt0225071,Angel Eyes,2001,,
tt0227445,The Score,2001,,
tt0227538,Spy Kids,2001,,
tt0229260,Book of Shadows: Blair Witch 2,2000,,
tt0230011,Atlantis: The Lost Empire,2001,,
tt0230030,Bedazzled,2000,,
tt0231402,Crocodile Dundee in Los Angeles,2001,,
tt0231775,Down to Earth,2001,,
tt0235327,Dark Days,2000,,
tt0235679,Pokémon 3 the Movie: Spell of the Unown,2000,,
tt0236493,The Mexican,2001,,
tt0237572,The Pledge,2001,,
tt0238924,The Dangerous Lives of Altar Boys,2002,,
tt0239395,Cats & Dogs,2001,,
tt0239949,Say It Isn't So,2001,,
